model,class_label,precision,recall,f1_score,support
Multiclass Logistic Regression,Negative,0.8363211223694466,0.8055555555555556,0.8206500956022944,1332
Multiclass Logistic Regression,Neutral,0.8389647735442128,0.9373493975903614,0.8854324734446131,1245
Multiclass Logistic Regression,Positive,0.8779940119760479,0.8185624563852059,0.847237269772481,1433
Multiclass Linear SVM,Negative,0.8445344129554656,0.7830330330330331,0.8126217374366965,1332
Multiclass Linear SVM,Neutral,0.8467153284671532,0.9317269076305221,0.887189292543021,1245
Multiclass Linear SVM,Positive,0.8505338078291815,0.8339148639218423,0.8421423537702607,1433
Multiclass Random Forest,Negative,0.7679814385150812,0.7454954954954955,0.7565714285714286,1332
Multiclass Random Forest,Neutral,0.7534516765285996,0.9204819277108434,0.8286334056399133,1245
Multiclass Random Forest,Positive,0.8570234113712375,0.7152826238660154,0.7797641688855078,1433
Multiclass Multinomial Naive Bayes,Negative,0.7121794871794872,0.8340840840840841,0.7683264177040111,1332
Multiclass Multinomial Naive Bayes,Neutral,0.8490909090909091,0.3751004016064257,0.5203342618384401,1245
Multiclass Multinomial Naive Bayes,Positive,0.6142105263157894,0.8143754361479414,0.7002700270027002,1433
Multiclass BiLSTM Neural Network,Negative,0.7839943342776204,0.831081081081081,0.8068513119533528,1332
Multiclass BiLSTM Neural Network,Neutral,0.9188503803888419,0.8730923694779117,0.8953871499176277,1245
Multiclass BiLSTM Neural Network,Positive,0.8381625441696113,0.8276343335659456,0.8328651685393258,1433
